 (cabinet)
" Churchill, W (cabinet)"
"Washburne, Elihu Benjamin (frus)"
"Washington Post, Washington Post (clinton)"
"Washington, Don (clinton)"
"Washington, George (briefing)"
"Washington, George (cpdoc)"
"Washington, George (frus)"
"Washington, Ruth V. (briefing)"
"Washington, Ruth V. (frus)"
"Wasilewska, Wanda (briefing)"
"Wasilewska, Wanda (frus)"
"Wasmosy, Juan Carlos (briefing)"
"Wasmosy, Juan Carlos (frus)"
"Wass, D (cabinet)"
"Wasserman, Lou (clinton)"
"Wasserman, Lou (kissinger)"
"Wasson, Thomas C. (briefing)"
"Wasson, Thomas C. (frus)"
"Watanabe, Makoto (clinton)"
"Watanabe, Makoto (frus)"
"Waterfield, A (cabinet)"
"Waterhouse, C (cabinet)"
"Waterlow, S (cabinet)"
"Waterman, Alan T. (briefing)"
"Waterman, Alan T. (clinton)"
"Waterman, Alan T. (frus)"
"Waterman, Jeremie (clinton)"
"Waters, Edmund J. (frus)"
"Waters, General John K. (clinton)"
"Waters, John (clinton)"
"Waters, John K. (briefing)"
"Waters, John K. (frus)"
"Waters, Shelah (frus)"
"Watkins, Donald (frus)"
"Watkinson, H (cabinet)"
"Watkinson, Harold (briefing)"
"Watkinson, Harold (clinton)"
"Watkinson, Harold (frus)"
"Watrous, Livingston D. (clinton)"
"Watrous, Livingston D. (frus)"
"Watson, A (cabinet)"
"Watson, Albert, II (briefing)"
"Watson, Albert, II (frus)"
"Watson, Alexander F.; Watson, Marvin; Watson, W. Marvin; Watson, W. Marvin, Jr. (clinton)"
"Watson, Alexander Fletcher (briefing)"
"Watson, Alexander Fletcher (frus)"
"Watson, Arthur K.; Watson, Thomas J., Jr.; Watson, Thomas, Jr. (clinton)"
"Watson, Arthur Kittredge (briefing)"
"Watson, Arthur Kittredge (frus)"
"Watson, Barbara Mae (briefing)"
"Watson, Barbara Mae (frus)"
"Watson, Cindi (clinton)"
"Watson, Cynthia (clinton)"
"Watson, D (cabinet)"
"Watson, Diane Edith (briefing)"
"Watson, Diane Edith (frus)"
"Watson, Edwin M. (briefing)"
"Watson, Edwin M. (frus)"
"Watson, Hathaway, Jr. (frus)"
"Watson, Jack H., Jr. (briefing)"
"Watson, Jack H., Jr. (frus)"
"Watson, Jack; Watson, Jack H., Jr. (clinton)"
"Watson, John H.A. (clinton)"
"Watson, John Hugh Adam (briefing)"
"Watson, John Hugh Adam (clinton)"
"Watson, John Hugh Adam (frus)"
"Watson, John Jordan Crittenden (briefing)"
"Watson, John Jordan Crittenden (frus)"
"Watson, Lt. General Albert, II (clinton)"
"Watson, Major General Albert, II (clinton)"
"Watson, Thomas C. (briefing)"
"Watson, Thomas C. (frus)"
"Watson, Thomas J., Jr. (briefing)"
"Watson, Thomas J., Jr. (frus)"
"Watson, W (cabinet)"
"Watson, W. Marvin, Jr. (briefing)"
"Watson, W. Marvin, Jr. (frus)"
"Watt, Alan S. (briefing)"
"Watt, Alan S. (clinton)"
"Watt, Alan S. (frus)"
"Watt, Linda Ellen (briefing)"
"Watt, Linda Ellen (frus)"
"Wattenberg, Benjamin J. (briefing)"
"Wattenberg, Benjamin J. (clinton)"
"Wattenberg, Benjamin J. (frus)"
"Watters, Harry J. (frus)"
"Watterson, Harvey Magee (briefing)"
"Watterson, Harvey Magee (frus)"
"Watts, Beaufort T. (briefing)"
"Watts, Beaufort T. (frus)"
"Watts, Henry Miller (briefing)"
"Watts, Henry Miller (frus)"
"Watts, Philip H. (clinton)"
"Watts, Philip H. (frus)"
"Watts, Regan (clinton)"
"Watts, William (briefing)"
"Watts, William (clinton)"
"Watts, William (frus)"
"Wauchope, Keith Leveret (briefing)"
"Wauchope, Keith Leveret (frus)"
"Waugh, Samuel C; Waugh, Samuel C. (clinton)"
"Waugh, Samuel Clark (briefing)"
"Waugh, Samuel Clark (frus)"
Wavell (cabinet)
"Wavell, A (cabinet)"
"Wavell, Archibald Percival (briefing)"
"Wavell, Archibald Percival (frus)"
"Waxman, Sharon (clinton)"
"Wayman, James (clinton)"
"Wayne, E Anthony (clinton)"
"Wayne, Earl Anthony (briefing)"
"Wayne, Earl Anthony (frus)"
"Waynick, Capus M. (clinton)"
"Waynick, Capus Miller (briefing)"
"Waynick, Capus Miller (frus)"
"Weatherell, R (cabinet)"
"Weathersby, William Henry (briefing)"
"Weathersby, William Henry (frus)"
"Weaver, A. Vernon (briefing)"
"Weaver, A. Vernon (frus)"
"Weaver, Eunice (cpdoc)"
"Weaver, James H. (clinton)"
"Weaver, James H. (frus)"
"Weaver, L (cabinet)"
Webb (cabinet)
"Webb, James E. (clinton)"
"Webb, James Edwin (briefing)"
"Webb, James Edwin (frus)"
"Webb, James Watson (briefing)"
"Webb, James Watson (frus)"
"Webb, M (cabinet)"
"Webb, R (cabinet)"
"Webb, S (cabinet)"
"Webb, T. Clifton; Webb, Thomas Clifton (clinton)"
"Webb, Thomas Clifton (briefing)"
"Webb, Thomas Clifton (frus)"
"Webber, Robert T. (frus)"
"Weber, Daniel (clinton)"
"Weber, Hans-Herbert (clinton)"
"Weber, Hans-Herbert (frus)"
"Weber, Heinz (briefing)"
"Weber, Heinz (clinton)"
"Weber, Heinz (frus)"
"Weber, Richard F. (frus)"
"Webster, Bethuel M. (briefing)"
"Webster, Bethuel M. (clinton)"
"Webster, Bethuel M. (frus)"
"Webster, Charles Kingsley (briefing)"
"Webster, Charles Kingsley (frus)"
"Webster, Christopher (clinton)"
"Webster, Daniel (briefing)"
"Webster, Daniel (frus)"
"Webster, Daniel Fletcher (briefing)"
"Webster, Daniel Fletcher (frus)"
"Webster, Donald A. (clinton)"
"Webster, Donald A. (frus)"
"Webster, Jessica (clinton)"
"Webster, Robert M. (briefing)"
"Webster, Robert M. (clinton)"
"Webster, Robert M. (frus)"
"Webster-Main, Erin (clinton)"
"Wechsel, Hans (clinton)"
"Weddell, Alexander Wilbourne (briefing)"
"Weddell, Alexander Wilbourne (frus)"
"Weddington, Sarah (briefing)"
"Weddington, Sarah (clinton)"
"Weddington, Sarah (frus)"
"Wedemeyer, Albert C. (briefing)"
"Wedemeyer, Albert C. (frus)"
"Wedgewood, A (cabinet)"
"Wedgwood Benn, A (cabinet)"
"Wedgwood Benn, W (cabinet)"
"Wedgwood, J (cabinet)"
"Weede, Major General Richard G. (clinton)"
"Weede, Richard G. (briefing)"
"Weede, Richard G. (frus)"
"Weekes, R (cabinet)"
"Weeks, R (cabinet)"
"Weeks, Ronald (briefing)"
"Weeks, Ronald (frus)"
"Weeks, Sinclair (briefing)"
"Weeks, Sinclair (clinton)"
"Weeks, Sinclair (frus)"
"Wehmeyer, Donald A. (clinton)"
"Wehmeyer, Donald A. (frus)"
"Wehner, Herbert (briefing)"
"Wehner, Herbert (clinton)"
"Wehner, Herbert (frus)"
"Wehrer, Albert (briefing)"
"Wehrer, Albert (frus)"
"Wehrle, Leroy S. (clinton)"
"Wehrle, Leroy S. (frus)"
Wei Tao-ming (briefing)
Wei Tao-ming (clinton)
Wei Tao-ming (frus)
"Weicker, Lowell P. (briefing)"
"Weicker, Lowell P. (cpdoc)"
"Weicker, Lowell P. (frus)"
"Weicker, Lowell P., Jr. (briefing)"
"Weicker, Lowell P., Jr. (clinton)"
"Weicker, Lowell P., Jr. (frus)"
"Weight, Jerauld (frus)"
"Weil, Frank A. (briefing)"
"Weil, Frank A. (clinton)"
"Weil, Frank A. (frus)"
"Weil, Leon Jerome (frus)"
"Weil, Lynne (clinton)"
"Weil, T. Eliot; Weil, Thomas Eliot (clinton)"
"Weil, Thomas Eliot (frus)"
"Weiler, Lawrence D. (clinton)"
"Weiler, Lawrence D. (frus)"
"Weinberg, Donald (clinton)"
"Weinberg, Julian (clinton)"
"Weinberger, Caspar W. (briefing)"
"Weinberger, Caspar W. (frus)"
"Weinberger, Caspar W.; Weinberger, Casper; Weinberger, Casper W. (clinton)"
"Weinberger, Caspar W.; Weinberger, Casper; Weinberger, Casper W. (kissinger)"
"Weinel, John P. (âBlackieâ) (briefing)"
"Weinel, John P. (“Blackie”) (frus)"
"Weinel, John P.; Weinel, John P. ""Blackie,""; Weinel, Vice Admiral John P. (clinton)"
"Weiner, Anthony (clinton)"
"Weiner, Benjamin (frus)"
"Weinhold, Scott (clinton)"
"Weinmann, John Giffen (briefing)"
"Weinmann, John Giffen (frus)"
"Weinstein, Jeremy (clinton)"
"Weintal, Edward (frus)"
"Weintraub, Sidney (briefing)"
"Weintraub, Sidney (clinton)"
"Weintraub, Sidney (frus)"
"Weinz, Joanna (clinton)"
Weir (cabinet)
"Weir, A (cabinet)"
"Weir, Albert R. (frus)"
"Weir, Cecil (frus)"
"Weir, Michael S. (clinton)"
"Weir, Michael S. (frus)"
"Weir, W (cabinet)"
"Weisberg, Robert (briefing)"
"Weisberg, Robert (frus)"
"Weisenfeld, Paul (clinton)"
"Weiser, Ronald (briefing)"
"Weiser, Ronald (frus)"
"Weislogel, Winifred S. (frus)"
"Weisner, Jerome (clinton)"
"Weisner, Jerome (kissinger)"
"Weisner, Maurice F. (briefing)"
"Weisner, Maurice F. (clinton)"
"Weisner, Maurice F. (frus)"
"Weiss, Cora (frus)"
"Weiss, Cora; Weiss, Peter (clinton)"
"Weiss, Elaine (clinton)"
"Weiss, Leonard (frus)"
"Weiss, Peter (briefing)"
"Weiss, Peter (frus)"
"Weiss, Seymour W. (briefing)"
"Weiss, Seymour W. (frus)"
"Weiss, Seymour; Weiss, Seymour W. (clinton)"
"Weiss, Sy (clinton)"
"Weiss, Sy (kissinger)"
"Weissman, H. Andre (frus)"
"Weissman, Marvin (briefing)"
"Weissman, Marvin (cpdoc)"
"Weissman, Marvin (frus)"
"Weisz Young, Dave (clinton)"
"Weisz Young, Diane (clinton)"
"Weitzel, George Thomas (frus)"
"Weizman, Brigadier General Ezer; Weizman, Ezer (clinton)"
"Weizman, Ezer (briefing)"
"Weizman, Ezer (cpdoc)"
"Weizman, Ezer (frus)"
"Weizmann, Chaim (briefing)"
"Weizmann, Chaim (clinton)"
"Weizmann, Chaim (frus)"
"Weizsacker, Richard von (clinton)"
"WeizsÃ¤cker, Richard von (briefing)"
"Weizsäcker, Richard von (frus)"
"Welander, Admiral Robert O. (clinton)"
"Welander, Rear Admiral Robert O. (clinton)"
"Welander, Robert O. (frus)"
"Welch, C. David (briefing)"
"Welch, C. David (frus)"
"Welch, Leo (briefing)"
"Welch, Leo (clinton)"
"Welch, Leo (frus)"
"Welch, Richard (briefing)"
"Welch, Richard (clinton)"
"Welch, Richard (frus)"
"Welch, Rolland (clinton)"
"Welch, Rolland (frus)"
"Welensky, Roy (briefing)"
"Welensky, Roy (frus)"
"Welensky, Sir Roy (clinton)"
"Welke, Susan (clinton)"
"Well, Gunther van (clinton)"
"Well, GÃ¼nther van (briefing)"
"Well, Günther van (frus)"
"Wellbank, Clayton S. (clinton)"
"Wellbank, Clayton S. (frus)"
"Weller, John B. (briefing)"
"Weller, John B. (frus)"
"Welles, Benjamin (briefing)"
"Welles, Benjamin (frus)"
"Welles, Benjamin Sumner (briefing)"
"Welles, Benjamin Sumner (frus)"
"Wellesley, V (cabinet)"
"Wellford, W. Harrison (frus)"
"Welling, Tracy R. (clinton)"
"Welling, Tracy R. (frus)"
"Wellington, Rebecca G. (clinton)"
"Wellington, Rebecca G. (frus)"
"Wellman, Harvey R. (clinton)"
"Wellman, Harvey R. (frus)"
"Wellons, Alfred E. (clinton)"
"Wellons, Alfred E. (frus)"
"Wells, Alfred W. (briefing)"
"Wells, Alfred W. (frus)"
"Wells, Alice (clinton)"
"Wells, Alice G. (briefing)"
"Wells, Alice G. (frus)"
"Wells, Barry L. (briefing)"
"Wells, Barry L. (frus)"
"Wells, General Henry (clinton)"
"Wells, Henry (frus)"
"Wells, Hezekiah G. (frus)"
"Wells, J (cabinet)"
"Wells, Melissa F. (clinton)"
"Wells, Melissa Foelsch (briefing)"
"Wells, Melissa Foelsch (frus)"
"Wells, Milton K. (clinton)"
"Wells, Milton K. (frus)"
"Wells, Stabler (clinton)"
"Wells, William W. (briefing)"
"Wells, William W. (frus)"
"Welsh, Caitlin (clinton)"
"Welsh, Edward C. (briefing)"
"Welsh, Edward C. (clinton)"
"Welsh, Edward C. (frus)"
"Welsh, John (briefing)"
"Welsh, John (frus)"
"Welters, Beatrice W. (frus)"
"Welters, Tony (clinton)"
"Welton, Donna (clinton)"
"Wemyss, R (cabinet)"
Wen Jiabao (briefing)
Wen Jiabao (frus)
"Wendt, E. Allan (briefing)"
"Wendt, E. Allan (frus)"
"Wenick, Martin A. (briefing)"
"Wenick, Martin A. (frus)"
"Wenk, Edward, Jr. (frus)"
"Wenner, Michael A. (clinton)"
"Wenner, Michael A. (frus)"
"Wentworth, Brig. Gen. Richard D. (clinton)"
"Wentworth, Richard D. (briefing)"
"Wentworth, Richard D. (frus)"
"Wenzel, Robert H. (clinton)"
"Wenzel, Robert H. (frus)"
"Werkmeister, Karl (briefing)"
"Werkmeister, Karl (frus)"
"Werner, Otto (briefing)"
"Werner, Otto (cpdoc)"
"Werner, Otto (frus)"
"Werner, Sally (frus)"
"Weskam, Wilhelm (briefing)"
"Weskam, Wilhelm (frus)"
"Wesley, Eric (clinton)"
"Wesner, Alexa Lange (briefing)"
"Wesner, Alexa Lange (frus)"
"Weson, Chad (clinton)"
"Wessel, Peter (briefing)"
"Wessel, Peter (frus)"
Wessin y Wessin (clinton)
"Wessin y Wessin, Elias (briefing)"
"Wessin y Wessin, Elias (frus)"
"Wesson, Charles M. (briefing)"
"Wesson, Charles M. (frus)"
"West, Emanuel J. (frus)"
"West, Francis J. (briefing)"
"West, Francis J. (clinton)"
"West, Francis J. (frus)"
"West, Francis, J. (clinton)"
"West, G (cabinet)"
"West, George L., Jr. (briefing)"
"West, George L., Jr. (clinton)"
"West, George L., Jr. (frus)"
"West, George S. (briefing)"
"West, George S. (frus)"
"West, John C. (clinton)"
"West, John Carl (briefing)"
"West, John Carl (frus)"
"West, Robert R. (frus)"
"West, Thomas (clinton)"
"Westacott, Richard (frus)"
"Westbrook, Sam (clinton)"
"Westbrook, Samuel W., III (briefing)"
"Westbrook, Samuel W., III (frus)"
"Westbury, Richard (clinton)"
"Westerfield, Samuel Zazachilds, Jr. (frus)"
"Westfall, Virginia C. (frus)"
"Westley, Catherine (clinton)"
"Westmoreland, General William C.; Westmoreland, William C. (clinton)"
"Westmoreland, William Charles (briefing)"
"Westmoreland, William Charles (clinton)"
"Westmoreland, William Charles (frus)"
"Weston, James G. (frus)"
"Weston, Michael C. S. (frus)"
"Weston, Thomas G. (clinton)"
"Weston, Thomas G. (frus)"
"Weston, W. G. (cpdoc)"
"Weston, W. G. (frus)"
"Westphal, Joseph William (briefing)"
"Westphal, Joseph William (frus)"
"Westrick, Ludgar (clinton)"
"Westrick, Ludger (CDU) (clinton)"
"Westrick, Ludger (briefing)"
"Westrick, Ludger (frus)"
"Westropp, V. J. E. (frus)"
"Westwood, J (cabinet)"
"Wetherell, C (cabinet)"
"Wexler, Anne (briefing)"
"Wexler, Anne (clinton)"
"Wexler, Anne (frus)"
"Wexler, Harry (briefing)"
"Wexler, Harry (clinton)"
"Wexler, Harry (frus)"
"Wexler, William A. (frus)"
"Weyand, Frederick C. (briefing)"
"Weyand, Frederick C. (frus)"
"Weyand, Frederick C.; Weyand, Lieutenant General Frederick C. (clinton)"
Weygand (cabinet)
"Weymss, R (cabinet)"
"Whalen, Charles W., Jr. (briefing)"
"Whalen, Charles W., Jr. (frus)"
"Whalen, Charles W.; Whalen, Charles W., Jr. (clinton)"
"Whalley, K. (briefing)"
"Whalley, K. (clinton)"
"Whalley, K. (cpdoc)"
"Whalley, K. (frus)"
"Wharton, Clifton R., Jr. (clinton)"
"Wharton, Clifton Reginald, Jr. (briefing)"
"Wharton, Clifton Reginald, Jr. (frus)"
"Wharton, Clifton Reginald, Sr. (briefing)"
"Wharton, Clifton Reginald, Sr. (frus)"
"Wharton, David (clinton)"
"Wharton, David Bruce (briefing)"
"Wharton, David Bruce (frus)"
"Wharton, William Fisher (briefing)"
"Wharton, William Fisher (frus)"
"Whearty, Raymond P. (clinton)"
"Whearty, Raymond P. (frus)"
"Wheatley, J (cabinet)"
"Wheaton, Henry (briefing)"
"Wheaton, Henry (frus)"
"Wheeler, Chelsia (clinton)"
"Wheeler, Earle G. (briefing)"
"Wheeler, Earle G. (frus)"
"Wheeler, Earle G.; Wheeler, General Earl G.; Wheeler, General Earle; Wheeler, General Earle G.; Wheeler, General Earle General; Wheeler, Lieutenant General Earle G.; Wheeler, Lt. Gen. Earle G. (clinton)"
"Wheeler, George Post (briefing)"
"Wheeler, George Post (frus)"
"Wheeler, John H. (briefing)"
"Wheeler, John H. (frus)"
"Wheeler, Joseph C. (briefing)"
"Wheeler, Joseph C. (frus)"
"Wheeler, Michael O. (frus)"
"Wheeler, Paul (briefing)"
"Wheeler, Paul (frus)"
"Wheeler, Raymond A. (briefing)"
"Wheeler, Raymond A. (frus)"
"Wheeler, Richard S. (briefing)"
"Wheeler, Richard S. (frus)"
"Wheelock, Jaime (briefing)"
"Wheelock, Jaime (frus)"
"Wheelock, John Topping (frus)"
"Wheelon, Alfred D. (clinton)"
"Wheelon, Alfred D. (frus)"
"Whelan, Kevin (clinton)"
"Whelan, Moira (clinton)"
"Whelan, Thomas E. (clinton)"
"Whelan, Thomas Edward (frus)"
"Wherry, Kenneth S. (briefing)"
"Wherry, Kenneth S. (frus)"
"Whidden, Benjamin F. (briefing)"
"Whidden, Benjamin F. (frus)"
"Whigham, R (cabinet)"
"Whisenand, Brig. Gen. James (clinton)"
"Whisenand, James F. (frus)"
"Whitaker, Elizabeth (clinton)"
"Whitaker, John C. (briefing)"
"Whitaker, John C. (clinton)"
"Whitaker, John C. (frus)"
"Whitaker, Jose Maria (clinton)"
"Whitaker, JosÃ© MarÃ­a (briefing)"
"Whitaker, José María (frus)"
"Whitaker, Kevin (clinton)"
"Whitaker, Kevin M. (briefing)"
"Whitaker, Kevin M. (frus)"
"White House, White House (clinton)"
"White, Andrew Dickson (briefing)"
"White, Andrew Dickson (frus)"
"White, Barbara P. (briefing)"
"White, Barbara P. (clinton)"
"White, Barbara P. (frus)"
"White, Barry (clinton)"
"White, Barry B. (briefing)"
"White, Barry B. (frus)"
"White, Bill (clinton)"
"White, Charles Dunning (frus)"
"White, E (cabinet)"
"White, E. Wyndham (briefing)"
"White, E. Wyndham (clinton)"
"White, E. Wyndham (frus)"
"White, Emmett Lamar (clinton)"
"White, Emmett Lamar (frus)"
"White, Francis (clinton)"
"White, Francis (frus)"
"White, Gen. Thomas D.; White, General Thomas D.; White, General, Thomas D.; White, Lieutenant General Thomas D. (clinton)"
"White, Harry Dexter (briefing)"
"White, Harry Dexter (frus)"
"White, Henry (briefing)"
"White, Henry (frus)"
"White, Isaac D. (briefing)"
"White, Isaac D. (frus)"
"White, Ivan B. (clinton)"
"White, Ivan B. (frus)"
"White, Ivan B.; White, Lincoln; White, Lincoln P.; White, Paul Lincoln (Linc) (clinton)"
"White, John (frus)"
"White, John C. (briefing)"
"White, John C. (frus)"
"White, John Campbell (briefing)"
"White, John Campbell (frus)"
"White, John P. (briefing)"
"White, John P. (frus)"
"White, John; White, John C. (clinton)"
"White, Julius (briefing)"
"White, Julius (frus)"
"White, Katharine (Elkus) (briefing)"
"White, Katharine (Elkus) (frus)"
"White, Lawrence K. (briefing)"
"White, Lawrence K. (clinton)"
"White, Lawrence K. (frus)"
"White, Lee C. (briefing)"
"White, Lee C. (clinton)"
"White, Lee C. (frus)"
"White, Lieutenant General Isaac D. (clinton)"
"White, Lloyd (briefing)"
"White, Lloyd (clinton)"
"White, Lloyd (frus)"
"White, Maureen (clinton)"
"White, Miller G. (briefing)"
"White, Miller G. (clinton)"
"White, Miller G. (frus)"
"White, P. (clinton)"
"White, Pamela (clinton)"
"White, Pamela Ann (briefing)"
"White, Pamela Ann (frus)"
"White, Paul Lincoln (Linc) (frus)"
"White, Philo (briefing)"
"White, Philo (frus)"
"White, Richard (clinton)"
"White, Robert (briefing)"
"White, Robert (clinton)"
"White, Robert (cpdoc)"
"White, Robert (frus)"
"White, Robert Edward (briefing)"
"White, Robert Edward (frus)"
"White, Robert M. (briefing)"
"White, Robert M. (clinton)"
"White, Robert M. (cpdoc)"
"White, Robert M. (frus)"
"White, Stacy (clinton)"
"White, Terry (clinton)"
"White, Theodore (briefing)"
"White, Theodore (frus)"
"White, Thomas (clinton)"
"White, Thomas D. (briefing)"
"White, Thomas D. (frus)"
"White, Wallace H., Jr. (briefing)"
"White, Wallace H., Jr. (frus)"
"Whitehead, Clay T. (briefing)"
"Whitehead, Clay T. (clinton)"
"Whitehead, Clay T. (frus)"
"Whitehead, Edgar (briefing)"
"Whitehead, Edgar (clinton)"
"Whitehead, Edgar (frus)"
"Whitehead, John C. (briefing)"
"Whitehead, John C. (frus)"
"Whitehead, Robert (clinton)"
"Whitehead, Robert E. (briefing)"
"Whitehead, Robert E. (frus)"
"Whitehouse, Charles Sheldon (briefing)"
"Whitehouse, Charles Sheldon (frus)"
"Whitehouse, Charles; Whitehouse, Charles S.; Whitehouse, Charles W.; Whitehouse, Charles, S. (clinton)"
"Whitehouse, Sheldon (briefing)"
"Whitehouse, Sheldon (frus)"
"Whitehouse, Vira B. (briefing)"
"Whitehouse, Vira B. (frus)"
Whitelaw (cabinet)
"Whitelaw, W (cabinet)"
"Whitelaw, William (briefing)"
"Whitelaw, William (frus)"
"Whiteley, General Sir John F. M. (clinton)"
"Whiteley, John F. M. (frus)"
"Whiteley, W (cabinet)"
"Whiteley.<surname></persname, W (cabinet)"
"Whiteman, Marjorie M. (briefing)"
"Whiteman, Marjorie M. (clinton)"
"Whiteman, Marjorie M. (frus)"
"Whitepord, William K. (frus)"
"Whiteside, Ruth (clinton)"
"Whiteside, Ruth A. (frus)"
"Whiteus, Mary (briefing)"
"Whiteus, Mary (frus)"
"Whitfield, Mal (briefing)"
"Whitfield, Mal (frus)"
"Whitham, Gilbert S. (frus)"
"Whiting, Allen S. (briefing)"
"Whiting, Allen S. (clinton)"
"Whiting, Allen S. (frus)"
"Whiting, Harold S. (clinton)"
"Whiting, Harold S. (frus)"
"Whiting, John D. (briefing)"
"Whiting, John D. (frus)"
"Whitlam, Edward Gough (briefing)"
"Whitlam, Edward Gough (frus)"
"Whitlam, Edward Gough; Whitlam, Gough (clinton)"
"Whitlam, Gough (briefing)"
"Whitlam, Gough (frus)"
"Whitlock, Brand (briefing)"
"Whitlock, Brand (frus)"
"Whitman, Ann C. (briefing)"
"Whitman, Ann C. (frus)"
"Whitman, Ann; Whitman, Ann C; Whitman, Ann C. (clinton)"
"Whitman, Marina (briefing)"
"Whitman, Marina (clinton)"
"Whitman, Marina (frus)"
"Whitman, Roswell H. (frus)"
"Whitman, Walter G. (clinton)"
"Whitman, Walter G. (frus)"
"Whitney, Benson K. (briefing)"
"Whitney, Benson K. (frus)"
"Whitney, C. V. (briefing)"
"Whitney, C. V. (clinton)"
"Whitney, C. V. (frus)"
"Whitney, John Hay (Jock) (briefing)"
"Whitney, John Hay (Jock) (frus)"
"Whitney, John Hay; Whitney, John Hay (Jock) (clinton)"
"Whitney, Ray (briefing)"
"Whitney, Ray (frus)"
"Whitney, Reitz (clinton)"
"Whittaker, Arthur P. (clinton)"
"Whittaker, Arthur P. (frus)"
"Whittaker, T (cabinet)"
"Whittemore, Clive (briefing)"
"Whittemore, Clive (frus)"
"Whittington, Floyd L. (frus)"
"Whittlesey, Faith Ryan (briefing)"
"Whittlesey, Faith Ryan (frus)"
"Wick, Charles Z. (briefing)"
"Wick, Charles Z. (frus)"
"Wickel, James J. (briefing)"
"Wickel, James J. (clinton)"
"Wickel, James J. (frus)"
"Wickersham, James Pyle (briefing)"
"Wickersham, James Pyle (frus)"
"Wickham, John A., Jr. (briefing)"
"Wickham, John A., Jr. (frus)"
"Wickham, John A., Jr.; Wickham, Major General John A., Jr.; Wickham, Major General John, Jr. (clinton)"
"Wickliffe, Robert, Jr. (briefing)"
"Wickliffe, Robert, Jr. (frus)"
"Wides, Burton V. (frus)"
Widjojo Nitisastro (briefing)
Widjojo Nitisastro (clinton)
Widjojo Nitisastro (frus)
"Widman, F. Lisle (clinton)"
"Widman, F. Lisle (frus)"
"Widmer, Edward (clinton)"
"Wiecha, Robert D. (clinton)"
"Wiecha, Robert D. (frus)"
"Wiedemann, Kent M. (briefing)"
"Wiedemann, Kent M. (frus)"
"Wiegand, Greg (clinton)"
"Wiegett, Joel (clinton)"
"Wieland, William A. (clinton)"
"Wieland, William A. (frus)"
"Wienand, Karl (briefing)"
"Wienand, Karl (clinton)"
"Wienand, Karl (frus)"
"Wiener, Aharon (clinton)"
"Wiener, Aharon (frus)"
"Wiens, Henry W. (clinton)"
"Wiens, Henry W. (frus)"
"Wierblowski, Stefan (frus)"
"Wiesel, Elie (briefing)"
"Wiesel, Elie (clinton)"
"Wiesel, Elie (frus)"
"Wiesner, Jerome B. (briefing)"
"Wiesner, Jerome B. (clinton)"
"Wiesner, Jerome B. (frus)"
"Wiesner, Louis Arnold (frus)"
"Wigg, G (cabinet)"
"Wiggin, Charles D. (briefing)"
"Wiggin, Charles D. (clinton)"
"Wiggin, Charles D. (frus)"
"Wiggins, Guy A.; Wiggins, Guy Arthur (clinton)"
"Wiggins, Guy Arthur (frus)"
"Wiggins, James R.; Wiggins, James Russell (clinton)"
"Wiggins, James Russell (briefing)"
"Wiggins, James Russell (clinton)"
"Wiggins, James Russell (frus)"
"Wigglesworth, Richard B. (clinton)"
"Wigglesworth, Richard Bowditch (briefing)"
"Wigglesworth, Richard Bowditch (frus)"
"Wight, William L., Jr. (clinton)"
"Wight, William L., Jr. (frus)"
"Wightman, O (cabinet)"
"Wigny, Pierre (briefing)"
"Wigny, Pierre (clinton)"
"Wigny, Pierre (frus)"
"Wikner, N. Frederick (clinton)"
"Wikner, N. Frederick (frus)"
"Wilberforce, John (briefing)"
"Wilberforce, John (clinton)"
"Wilberforce, John (frus)"
"Wilcox, Francis O. (clinton)"
"Wilcox, Francis Orlando (briefing)"
"Wilcox, Francis Orlando (frus)"
"Wilcox, Philip C., Jr. (briefing)"
"Wilcox, Philip C., Jr. (frus)"
"Wild, E (cabinet)"
"Wilder, Timothy (clinton)"
"Wilderotter, James A. (frus)"
"Wilds, Walter (briefing)"
"Wilds, Walter (frus)"
"Wilenski, Peter (briefing)"
"Wilenski, Peter (clinton)"
"Wilenski, Peter (frus)"
"Wiley, Alexander (briefing)"
"Wiley, Alexander (frus)"
"Wiley, Alexander; Wiley, Senator Alexander (clinton)"
"Wiley, John C. (clinton)"
"Wiley, John Cooper (briefing)"
"Wiley, John Cooper (frus)"
"Wiley, Marshall W. (clinton)"
"Wiley, Marshall Wayne (frus)"
"Wilgis, Herbert E., Jr. (frus)"
"Wilgress, L. Dana (clinton)"
"Wilgress, Leolyn Dana (briefing)"
"Wilgress, Leolyn Dana (frus)"
"Wilgus, Janet (frus)"
"Wilheim, Jorge (cpdoc)"
Wilhelm (briefing)
Wilhelm (frus)
Wilhelm II (briefing)
Wilhelm II (frus)
"Wilhelm, Harry (briefing)"
"Wilhelm, Harry (clinton)"
"Wilhelm, Harry (frus)"
"Wilhelm, John K. (frus)"
Wilhelmina (briefing)
Wilhelmina (frus)
"Wilkey, Malcolm Richard (briefing)"
"Wilkey, Malcolm Richard (frus)"
"Wilkins, C. Howard, Jr. (briefing)"
"Wilkins, C. Howard, Jr. (frus)"
"Wilkins, David Horton (briefing)"
"Wilkins, David Horton (frus)"
"Wilkins, Eraser; Wilkins, Fraser (clinton)"
"Wilkins, Fraser (briefing)"
"Wilkins, Fraser (frus)"
"Wilkins, James (frus)"
"Wilkins, Roy (briefing)"
"Wilkins, Roy (frus)"
